participant_id,day,treatment,treatment_description,nationality,age,gender,education_level,occupation,it_experience_software_developer,it_experience_qa,it_experience_architect,it_experience_analyst,it_experience_support,it_experience_teacher,it_experience_student,it_experience_researcher,fintech_wallet_use_frequency,crypto_app_use_frequency,crypto_self_perceived_knowledge,sus_q1,sus_q2,sus_q3,sus_q4,sus_q5,sus_q6,sus_q7,sus_q8,sus_q9,sus_q10,sus_score,security_q1,security_q2,security_q3,security_q4,security_q5,security_q6,security_items_answered,security_score,feels_safer_with_devices
P01,1,2,"Multi-signature (2-of-2), initiated on desktop, authorized on mobile",Argentina,22,Man,Secondary,Student,,,,,,,1-3 years,,Daily,A few times a week,3,4,1,5,1,5,1,5,1,4,2,92.5,,,,,,,0,,
P02,1,1,"Single-signature (1-of-1), mobile device only",Argentina,20,Man,Secondary,Student,,,,,,,1-3 years,,A few times a week,Almost never,1,4,1,5,1,5,1,5,1,5,1,97.5,,,,,,,0,,
P03,1,2,"Multi-signature (2-of-2), initiated on desktop, authorized on mobile",Argentina,19,Man,Secondary,Student,,,,,,,1-3 years,,Daily,A few times a month,3,3,2,4,1,5,1,3,2,4,2,77.5,,,,,,,0,,
P04,1,1,"Single-signature (1-of-1), mobile device only",Argentina,19,Man,Tertiary/University,Student,,,,,,,1-3 years,,A few times a month,A few times a month,2,3,2,4,1,3,2,4,2,3,3,67.5,,,,,,,0,,
P05,1,1,"Single-signature (1-of-1), mobile device only",Argentina,19,Man,Tertiary/University,Student,1-3 years,,,1-3 years,,,10+ years,,Daily,Almost never,2,4,2,4,1,5,1,5,1,5,1,92.5,,,,,,,0,,
P06,1,2,"Multi-signature (2-of-2), initiated on desktop, authorized on mobile",Argentina,21,Man,Secondary,Student,,,,,,,1-3 years,,Daily,Never,2,3,3,4,2,3,3,4,2,4,4,60.0,,,,,,,0,,
P07,1,1,"Single-signature (1-of-1), mobile device only",Argentina,23,Man,Secondary,Student,,,,,,,1-3 years,Less than 1 year,Daily,Never,2,2,3,4,3,5,1,4,2,4,1,72.5,3,3,3,3,3,3,6,30.0,
P08,1,2,"Multi-signature (2-of-2), initiated on desktop, authorized on mobile",Venezuela,26,Man,Secondary,Student,Less than 1 year,,,,,,1-3 years,,Daily,Never,,5,2,4,2,3,2,5,2,3,2,75.0,4,3,3,3,4,2,6,37.5,
P09,1,3,"Multi-signature (2-of-2), initiated on mobile, authorized on desktop",Argentina,18,Woman,Secondary,Student,Less than 1 year,,,,,,,,Daily,A few times a week,1,3,2,3,3,4,3,4,1,2,1,65.0,2,4,2,4,2,4,6,15.0,
P10,1,4,"Single-signature (1-of-1), desktop browser only",Argentina,20,Woman,Tertiary/University,"Student, Employed",,,,1-3 years,,1-3 years,1-3 years,,Daily,A few times a month,2,4,1,5,2,5,1,5,1,4,1,92.5,3,4,4,3,3,2,6,32.5,
P11,1,3,"Multi-signature (2-of-2), initiated on mobile, authorized on desktop",Bolivia,24,Woman,Secondary,Student,,,,,,,1-3 years,,Daily,Never,,4,1,5,2,4,1,5,1,4,4,82.5,3,3,4,2,4,2,6,40.0,
P12,1,2,"Multi-signature (2-of-2), initiated on desktop, authorized on mobile",Argentina,23,Woman,Tertiary/University,"Student, Unemployed",,,,,,,1-3 years,,Daily,Almost never,1,4,5,5,1,5,1,4,1,5,1,85.0,5,1,5,1,5,1,6,60.0,
P13,1,4,"Single-signature (1-of-1), desktop browser only",Argentina,20,Woman,Tertiary/University,Student,,,,,,,1-3 years,,A few times a week,Never,1,3,4,5,2,5,1,5,1,4,1,82.5,5,1,4,3,3,3,6,42.5,
P14,1,2,"Multi-signature (2-of-2), initiated on desktop, authorized on mobile",Argentina,20,Woman,Secondary,Student,,,,,,,1-3 years,,Daily,Never,1,5,4,4,3,5,4,3,2,4,2,65.0,3,4,4,2,4,2,6,37.5,
P15,1,4,"Single-signature (1-of-1), desktop browser only",Argentina,21,Man,Tertiary/University,"Student, Employed",Less than 1 year,,,,,,1-3 years,,Daily,Never,2,4,1,5,1,5,1,5,1,3,3,87.5,3,2,4,3,4,1,6,42.5,
P16,1,3,"Multi-signature (2-of-2), initiated on mobile, authorized on desktop",Argentina,20,Man,Secondary,Student,,,,,,,1-3 years,,Daily,Never,1,4,2,4,1,3,1,4,1,2,1,77.5,3,3,3,4,4,5,6,25.0,
P17,1,3,"Multi-signature (2-of-2), initiated on mobile, authorized on desktop",Argentina,23,Man,Tertiary/University,Student,1-3 years,1-3 years,1-3 years,1-3 years,1-3 years,1-3 years,1-3 years,Less than 1 year,Daily,A few times a month,2,5,1,4,4,5,1,3,2,5,2,80.0,5,1,5,1,5,1,6,60.0,
P18,1,4,"Single-signature (1-of-1), desktop browser only",Argentina,20,Man,Secondary,Student,,,,Less than 1 year,,,1-3 years,,Daily,A few times a week,3,5,5,5,4,5,1,5,1,5,3,77.5,5,1,5,1,4,2,6,55.0,
P19,1,2,"Multi-signature (2-of-2), initiated on desktop, authorized on mobile",Argentina,22,Woman,Tertiary/University,"Student, Employed",1-3 years,,,,,1-3 years,5-6 years,1-3 years,Daily,A few times a month,2,4,2,5,1,5,1,2,4,4,1,77.5,5,5,4,1,4,1,6,45.0,
P20,1,3,"Multi-signature (2-of-2), initiated on mobile, authorized on desktop",Argentina,28,Man,Secondary,Student,,,,,1-3 years,,,,A few times a month,Never,1,4,4,5,5,5,4,5,1,5,4,65.0,5,5,5,5,5,5,6,30.0,
P21,2,1,"Single-signature (1-of-1), mobile device only",Argentina,20,Man,Tertiary/University,Student,,,,Less than 1 year,,,Less than 1 year,,A few times a month,A few times a month,4,3,2,4,3,3,3,4,2,3,3,60.0,3,3,3,3,4,5,6,27.5,
P22,2,4,"Single-signature (1-of-1), desktop browser only",Argentina,21,Man,Secondary,Student,5-6 years,Less than 1 year,Less than 1 year,Less than 1 year,Less than 1 year,Less than 1 year,5-6 years,Less than 1 year,Daily,A few times a month,3,3,1,4,2,5,1,3,2,5,1,82.5,5,2,4,2,5,1,6,52.5,
P23,2,1,"Single-signature (1-of-1), mobile device only",Argentina,21,Man,Secondary,Student,,,,,,,1-3 years,,Daily,A few times a week,3,4,1,4,1,4,1,5,1,4,3,85.0,5,5,5,5,5,1,6,40.0,
P24,2,1,"Single-signature (1-of-1), mobile device only",Argentina,28,Man,Tertiary/University,Employed,7-9 years,Less than 1 year,Less than 1 year,7-9 years,7-9 years,1-3 years,7-9 years,Less than 1 year,A few times a week,Never,,3,1,5,1,5,1,4,1,5,1,92.5,3,3,3,1,5,1,6,45.0,
P25,2,4,"Single-signature (1-of-1), desktop browser only",Argentina,26,Woman,Secondary,Student,,,,,,,5-6 years,,Never,Never,1,4,5,5,1,5,1,4,1,5,4,77.5,4,1,5,1,5,1,6,57.5,
P26,2,2,"Multi-signature (2-of-2), initiated on desktop, authorized on mobile",Argentina,26,Woman,Tertiary/University,Student,5-6 years,Less than 1 year,1-3 years,7-9 years,5-6 years,Less than 1 year,10+ years,Less than 1 year,Almost never,Almost never,2,3,1,4,2,3,1,5,2,5,3,77.5,4,1,4,1,3,3,6,45.0,
P27,2,4,"Single-signature (1-of-1), desktop browser only",Argentina,21,Man,Secondary,Student,,,,,,,1-3 years,,Daily,Almost never,2,5,1,5,1,4,1,4,1,5,2,92.5,5,4,4,2,3,2,6,40.0,
P28,2,3,"Multi-signature (2-of-2), initiated on mobile, authorized on desktop",Argentina,20,Man,Secondary,"Student, Self-employed",Less than 1 year,,,,,,1-3 years,,A few times a week,Almost never,3,4,3,3,2,4,3,3,2,4,1,67.5,1,2,4,2,4,2,6,37.5,
P29,2,2,"Multi-signature (2-of-2), initiated on desktop, authorized on mobile",Argentina,24,Man,Tertiary/University,Student,Less than 1 year,Less than 1 year,Less than 1 year,Less than 1 year,Less than 1 year,Less than 1 year,5-6 years,Less than 1 year,Daily,Never,2,2,1,4,1,4,1,2,2,3,1,72.5,2,2,2,2,3,2,6,32.5,
P30,2,3,"Multi-signature (2-of-2), initiated on mobile, authorized on desktop",Argentina,18,Woman,Primary,Student,,,,,,,Less than 1 year,,Daily,Never,1,3,4,4,4,3,2,2,2,3,3,50.0,4,2,4,2,1,1,6,40.0,
P31,2,4,"Single-signature (1-of-1), desktop browser only",Argentina,26,Woman,Tertiary/University,"Student, Employed",1-3 years,Less than 1 year,1-3 years,1-3 years,1-3 years,1-3 years,5-6 years,1-3 years,Daily,A few times a month,2,4,2,5,2,4,1,4,1,3,2,80.0,4,1,3,1,4,1,6,50.0,
P32,2,2,"Multi-signature (2-of-2), initiated on desktop, authorized on mobile",Argentina,18,Man,Tertiary/University,Student,,,,,,,Less than 1 year,,Daily,A few times a week,3,3,2,5,1,3,3,4,1,3,2,72.5,4,2,4,1,5,5,6,42.5,
P33,2,3,"Multi-signature (2-of-2), initiated on mobile, authorized on desktop",Argentina,34,Woman,Tertiary/University,Employed,,,,,,,,1-3 years,A few times a week,Almost never,2,4,2,4,1,5,1,4,2,5,1,87.5,4,1,5,1,5,1,6,57.5,
P34,2,1,"Single-signature (1-of-1), mobile device only",Argentina,44,Man,Postgraduate,Employed,Less than 1 year,Less than 1 year,Less than 1 year,Less than 1 year,Less than 1 year,Less than 1 year,1-3 years,1-3 years,A few times a week,Almost never,3,5,1,4,1,4,1,5,1,5,1,95.0,5,1,5,1,5,1,6,60.0,
P35,2,3,"Multi-signature (2-of-2), initiated on mobile, authorized on desktop",Argentina,24,Man,Secondary,"Student, Self-employed",1-3 years,,,,,,5-6 years,,Daily,Never,1,3,1,4,2,3,1,3,2,3,1,72.5,4,2,2,3,1,5,6,22.5,
P36,2,4,"Single-signature (1-of-1), desktop browser only",Argentina,24,Man,Secondary,Employed,1-3 years,,,,1-3 years,,5-6 years,,Daily,Never,,3,2,2,2,3,1,4,2,3,4,60.0,,,,,,,0,,
P37,2,2,"Multi-signature (2-of-2), initiated on desktop, authorized on mobile",Argentina,28,Man,Secondary,"Student, Self-employed",1-3 years,,,1-3 years,,,1-3 years,,Daily,A few times a week,4,4,2,3,1,3,2,3,2,4,2,70.0,4,2,3,1,3,1,6,45.0,
P38,2,4,"Single-signature (1-of-1), desktop browser only",Argentina,28,Man,Tertiary/University,"Student, Employer",5-6 years,1-3 years,,1-3 years,,,1-3 years,,Daily,A few times a week,4,5,2,4,2,4,2,3,2,4,2,75.0,4,2,4,2,5,2,6,47.5,
P39,2,1,"Single-signature (1-of-1), mobile device only",Colombia,26,Man,Secondary,Student,,,,1-3 years,,,,,A few times a month,Never,1,4,2,4,1,4,1,4,1,4,2,82.5,3,3,3,3,3,3,6,30.0,
P40,2,3,"Multi-signature (2-of-2), initiated on mobile, authorized on desktop",Argentina,19,Man,Secondary,Student,,,,,,,Less than 1 year,,A few times a week,A few times a month,2,3,3,4,1,4,3,5,2,5,5,67.5,3,1,5,2,5,1,6,52.5,
P41,2,1,"Single-signature (1-of-1), mobile device only",Argentina,41,Man,Postgraduate,Employed,,,,,,,,,Daily,Never,1,3,1,5,1,3,1,5,1,3,1,85.0,3,3,3,3,3,3,6,30.0,
P42,2,1,"Single-signature (1-of-1), mobile device only",Argentina,23,Man,Tertiary/University,Student,,,,Less than 1 year,,,,,Daily,Never,1,3,2,2,4,3,3,2,3,3,3,45.0,2,2,2,3,3,2,6,30.0,
P43,2,2,"Multi-signature (2-of-2), initiated on desktop, authorized on mobile",Italy,20,Woman,Secondary,Student,,,,,,,1-3 years,,Daily,Never,,3,4,2,4,4,2,1,5,2,3,35.0,2,3,3,3,4,2,6,32.5,
